,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,MSHA_ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
88,482,482,482,1519711,2013,Pegs Branch #2,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Mountain Reclamation And Const,"P.O. Box 1091, Phelps, KY 41553", ,Appalachia Central,3966,6,3678,8.285513309079741
89,50,50,50,301569,2013,Penny #1,Arkansas,Sebastian,Temporarily closed,Surface,Independent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936", ,Interior,3973,2,2790,8.287276755814599
90,565,565,565,3302930,2013,F & M Strip,Ohio,Jefferson,Active,Surface,Independent Producer Operator,Mine only,F & M Coal Company,"3925 County Rd. 56, Toronto, OH 43964", ,Appalachia Northern,3998,3,6857,8.293549515060345
91,648,648,648,3605493,2013,Reese No 1 & 2 Strip,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Philip Reese Coal Company Inc,"P.O. Box 14, Karthaus, PA 16845", ,Appalachia Northern,4002,2,1565,8.294549515143679
92,836,836,836,3608034,2013,Mountaintop Strip,Pennsylvania (Anthracite),Schuylkill,Active,Surface,Independent Producer Operator,Mine only,Mountaintop Coal Mining Inc,"P.O. Box 183, Elysburg, PA 17824", ,Appalachia Northern,4097,3,6240,8.318010277546872
93,758,758,758,3606071,2013,Brosious Mine,Pennsylvania (Bituminous),Jefferson,Active,Surface,Independent Producer Operator,Mine only,Cookport Coal Company Inc,"425 Market Street, Kittanning, PA 16201", ,Appalachia Northern,4174,4,6708,8.336630087637147
94,1328,1328,1328,4609420,2013,Ike Fork 5 Block Deep Mine,West Virginia (Southern),Nicholas,Temporarily closed,Underground,Independent Producer Operator,Mine only,"Little Eagle Coal Company, L.L","P.O. Box 134, Bickmore, WV 25019", ,Appalachia Central,4358,3,2104,8.379768515504566
95,765,765,765,3608273,2013,Clinton Surface Mine,Pennsylvania (Anthracite),Lackawanna,Active,Surface,Independent Producer Operator,Mine only,Pioneer Aggregates Inc,"215 East Saylor Ave, Laflin, PA 18702", ,Appalachia Northern,4394,6,13526,8.387995252944556
96,397,397,397,1518769,2013,Blue Ridge Surface Mine,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Cumberland River Coal Company,"P.O. Box 109, Appalachia, VA 24216",Scotia Employees Association,Appalachia Central,4438,17,34771,8.39795910349254
97,564,564,564,3302127,2013,Jefferson Pits,Ohio,Jefferson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Rosebud Mining Company,"95 North Lisbon Street, Carrollton, OH 44615", ,Appalachia Northern,4462,4,2174,8.403352374992478
98,1440,1440,1440,3609405,2013,Phoenix,Refuse Recovery,Washington,Active,Refuse,Independent Producer Operator,Mine and Preparation Plant,Boca Coal Inc,"5312 Thoms Run Rd, Bridgeville, PA 15017", ,Appalachia Northern,4473,5,5670,8.405814603432848
